age,agebucket,bookingplatform,booklongname,bookshortname,boref,botimestamp,boversion,business,businesstimezone,cancellationcashinstructionstatus,cancellationstockinstructionstatus,cashopenamt,cptyaccountingtype,cptyshortname,cusip,denominationcurrencycode,diarybotimestamp,diarycategory,diaryfailedreasoncode,diarynarrative,diaryupdatedby,direction,entityshortname,entitytype,faileddays,failedreason,forefnonunique,fullcashsettlementdate,fullinstrumentsettlementdate,fullsettlementdate,generalnarrative,instrumentname,instrumenttype,instrumenttypelevel2,instrumenttypelevel3,integrationstatus,isenriched,isin,isinternalsettlement,isinternaltrade,ismarketfacing,istradeactive,latestfailstatusactivity,market,marketoftrade,matchingstatus,modificationtimestamp,netconsiderationinbasecurrency,netconsiderationinbasecurrencyamount,opensettlementamt,opentradedquantity,operation,origin,ourdepot,ourdepotaccount,ournostro,ournostroaccount,parent,pbflow,pcs_cptyssi,pcs_entitydepotnostroacc,pcs_entityssi,pis_cptyssi,pis_entitydepotnostroacc,pis_entityssi,placeofsafekeeping,pricashoriginalamt,principal,priorityindicator,pristockoriginalamt,quantity,reportinterval,seccashoriginalamt,secstockoriginalamt,sedol,settbiccode,settdenominationamount,settdenominationcurrencycode,settlementamount,settlementconvention,settlementcurrencycode,settlementdepotcountry,settlementstatus,settlementterms,settlementtimestamp,settlementtype,stockdirection,stockinstructionexternalreason,stockinstructionexternalreasontype,stockinstructionexternalstatus,stockinstructionexternalstatustype,stockinstructionformat,stockinstructionnarrative,stockinstructionstatus,stockisacknowledged,stockopenamt,stockoperationalgroup,summarysettlementstatus,swiftcashreceiveref,swiftcashref,swiftdeliverref,swiftreceiveref,taskaction,taskage,taskbotimestamp,taskcreatedate,taskdescription,taskduedate,taskid,taskmodificationtimestamp,taskrole,taskstatus,tasktype,theirdepot,theirdepotaccount,theirnostro,theirnostroaccount,tradecategory,tradedate,tradedcurrencycode,tradedprice,tradereason,tradername,tradestate,tradestatus,tradesubtype,tradetimestamp,tradetype,tradetypecategory,updatedby,updateddatetime,valuedate
null,null,null,Repo MTM 94845,Repo MTM 94845,00000000000387436969,49:00.0,1,FI Financing,Europe/London,null,null,null,ExternalCounterparty,Citibank-Omnibus ALD,null,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,null,2LHPNQ,null,null,null,null,IXGR 1 1/8 06/24/26,Debt,null,null,STP,TRUE,XS2194283672,null,null,null,TRUE,null,FI-EMEA Domestic,null,Unmatched,49:56.0,null,null,null,300000,Delivery,FISS,null,34797,null,null,00000000000387417339,null,null,null,null,000000759662/S05392686,000000743766,C001/100002032758,null,null,279912.81,null,300000,300000,null,null,null,BJK0Q48,MGTCBEBEECL,0,EUR,null,GermanyDebt,EUR,null,Pending,FOP,null,TransactionSettlementType,Deliver,null,null,null,null,null,null,null,null,300000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20101,null,null,Financing,00:00.0,EUR,1,null,EWA,StockOnly,New,StockVsFee,29:00.0,StockBorrowCloseStockOnlyMovement,null,by FISS,null,00:00.0
null,null,null,ARTS 1,ARTS 1,00000000000000039362,32:24.0,1,FI Financing,Europe/London,null,null,null,ExternalCounterparty,Winterflood Securiti,912810EX2,USD,null,null,null,null,null,Receive,Barclays Bank PLC,null,null,null,2SXIUK,null,null,null,null,T 6 3/4 08/15/26,Debt,null,null,STP,TRUE,US912810EX29,null,null,null,TRUE,null,null,null,Unmatched,34:18.0,null,null,null,1000000,Receipt,FISS,The Bank of New York,BGB,null,null,00000000000000028507,null,null,null,null,000000794281/S00160710,000000743735,C001/100002228346,null,null,1090000,null,1000000,1000000,null,null,null,2942434,FRNYUS33,0,USD,null,USDebt,USD,US,Pending,FOP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,1000000,MSOFED,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Federal Reserve Bank,312690,null,null,Financing,00:00.0,USD,109,null,null,StockOnly,New,StockVsFee,53:00.0,StockLoanCloseStockOnlyMovement,null,by FISS,null,00:00.0
null,null,null,ARTS 1,ARTS 1,00000000000000039355,32:24.0,1,FI Financing,Europe/London,null,null,null,ExternalCounterparty,Winterflood Securiti,912810EX2,USD,null,null,null,null,null,Receive,Barclays Bank PLC,null,null,null,2SXIUQ,null,null,null,null,T 6 3/4 08/15/26,Debt,null,null,STP,TRUE,US912810EX29,null,null,null,TRUE,null,null,null,Unmatched,34:18.0,null,null,null,1000000,Receipt,FISS,The Bank of New York,BGB,null,null,00000000000000026224,null,null,null,null,000000794281/S00160710,000000743735,C001/100002228346,null,null,1090000,null,1000000,1000000,null,null,null,2942434,FRNYUS33,0,USD,null,USDebt,USD,US,Pending,FOP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,1000000,MSOFED,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Federal Reserve Bank,312690,null,null,Financing,00:00.0,USD,109,null,null,StockOnly,New,StockVsFee,00:00.0,StockLoanCloseStockOnlyMovement,null,by FISS,null,00:00.0
null,null,null,Investment Grade Banking_Repo MTM,Investment Grade Ban,00000000000000166436,31:39.0,1,Cash Business,Europe/London,null,null,4684790.4,ExternalCounterparty,Banco Bilbao Vizcaya,null,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3FOVUE,null,null,null,null,SWEA 3 5/8 08/23/32,Debt,null,null,STP,TRUE,XS2522879654,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,40:36.0,GBP,-4015075.76,4684790.4,5000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000000165405,null,000000789347/S09299401,000008525491,C001/100002032762,000000789347/S09299401,000000743766,C001/100002032758,null,4684790.4,4650000,null,5000000,5000000,null,null,null,BJLVTV8,MGTCBEBE,0,EUR,4684790.4,SwedenDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,5000000,ICSDFI,Open,null,null,null,AP00000166436Q1,null,null,null,null,null,null,null,null,null,null,null,null,43352,null,43352,Financing,00:00.0,EUR,93,null,null,NotNetted,New,NoneNoSubTranType,25:00.0,RepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,GBP Liability funding,GBP Liability fundin,00000000000000168448,55:57.0,1,FI Financing,Europe/London,null,null,null,ExternalCounterparty,Banco Bilbao Vizcaya,10569FAG3,USD,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3FOVWT,null,null,null,null,BRAVO 2022NQM1 B3,Debt,null,null,STP,TRUE,US10569FAG37,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,56:35.0,null,null,null,5000000,Receipt,FISS,Clearstream (CSD),15930,null,null,00000000000000166438,null,null,null,null,000000789347/S09393504,000000743755,C001/100002032777,null,null,5006560.19,null,5000000,5000000,null,null,null,null,CEDELULLXXX,0,USD,null,USDebt,USD,LU,Pending,FOP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,5000000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Clearstream (CSD),80860,null,null,Financing,00:00.0,USD,100.1312038,null,null,StockOnly,New,StockVsFee,35:00.0,StockLoanCloseStockOnlyMovement,null,by FISS,null,00:00.0
null,null,null,5 Banking_Repo MTM,5 Banking_Repo MTM,00000000000480553319,06:19.0,1,FI Financing,Europe/London,null,null,25035750,InternalCounterparty,BCSL PB-LMR CCSA MF,D2R8H4FY0,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3IQMQZ,null,null,null,null,OBL 0 04/10/26,Debt,null,null,STP,TRUE,DE0001141836,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,07:29.0,GBP,-20859648.39,25035750,1000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000480552304,null,000008809816/S08108465,000008525491,C001/100002032762,000008809816/S08108465,000000743766,C001/100002032758,null,25035750,25035750,null,1000,1000,null,null,null,BMY5YC4,ZYAFGB30XXX,0,EUR,25035750,GermanyDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,1000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21057,null,21057,Financing,00:00.0,EUR,2503575,null,null,NotNetted,New,StockVsCashCollateral,00:00.0,StockLoanCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,Repo MTM 94845,Repo MTM 94845,00000000000480553333,36:49.0,1,FI Financing,Europe/London,null,null,88157.36,InternalCounterparty,BCSL PB Diameter  BZ,T53246AB9,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3IQMRK,null,null,null,null,IGIM 2 1/8 11/28/24,Debt,null,null,STP,TRUE,XS2084425466,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,38:27.0,GBP,-77843.14,88157.36,100000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000480552334,null,000007834311/S06322921,000008525491,C001/100002032762,000007834311/S06322921,000000743766,C001/100002032758,null,88157.36,88157.36,null,100000,100000,null,null,null,BL5L747,ZYAFGB30XXX,0,EUR,88157.36,ItalyDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,100000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21057,null,21057,Financing,00:00.0,EUR,88.15736,null,null,NotNetted,New,StockVsCashCollateral,00:00.0,StockLoanCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,5 Banking_Repo MTM,5 Banking_Repo MTM,00000000000480556347,08:28.0,1,FI Financing,Europe/London,null,null,26383164.05,InternalCounterparty,BCSL PB-Marshall Eur,D2R8H4FY0,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3IQMSI,null,null,null,null,OBL 0 04/10/26,Debt,null,null,STP,TRUE,DE0001141836,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,10:02.0,GBP,-21599896.41,26383164.05,2000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000480553440,null,000009045187/S08791952,000008525491,C001/100002032762,000009045187/S08791952,000000743766,C001/100002032758,null,26383164.05,25035750,null,2000,2000,null,null,null,BMY5YC4,ZYAFGB30XXX,0,EUR,26383164.05,GermanyDebt,USD,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,2000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21057,null,21057,Financing,00:00.0,EUR,1251787.5,null,null,NotNetted,New,StockVsCashCollateral,00:00.0,StockLoanCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,5 Banking_Repo MTM,5 Banking_Repo MTM,00000000000480556342,00:57.0,1,FI Financing,Europe/London,null,null,25035750,InternalCounterparty,BCSL PB-Marshall Eur,D2R8H4FY0,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3IQMRD,null,null,null,null,OBL 0 04/10/26,Debt,null,null,STP,TRUE,DE0001141836,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,02:31.0,GBP,-21827157.8,25035750,2000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000480552307,null,000009045187/S08791952,000008525491,C001/100002032762,000009045187/S08791952,000000743766,C001/100002032758,null,25035750,25035750,null,2000,2000,null,null,null,BMY5YC4,ZYAFGB30XXX,0,EUR,25035750,GermanyDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,2000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21057,null,21057,Financing,00:00.0,EUR,1251787.5,null,null,NotNetted,New,StockVsCashCollateral,55:00.0,StockLoanCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,5 Banking_Repo MTM,5 Banking_Repo MTM,00000000000480565277,39:51.0,1,FI Financing,Europe/London,null,null,25035750,InternalCounterparty,BCSL PB-LMR CCSA MF,D2R8H4FY0,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,3IVEXA,null,null,null,null,OBL 0 04/10/26,Debt,null,null,STP,TRUE,DE0001141836,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,42:13.0,GBP,-20859648.39,25035750,1000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000480560497,null,000008809816/S08108465,000008525491,C001/100002032762,000008809816/S08108465,000000743766,C001/100002032758,null,25035750,25035750,null,1000,1000,null,null,null,BMY5YC4,ZYAFGB30XXX,0,EUR,25035750,GermanyDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,1000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21057,null,21057,Financing,00:00.0,EUR,2503575,null,null,NotNetted,New,StockVsCashCollateral,00:00.0,StockLoanCloseStockAndCashMovement,null,by FISS,null,00:00.0
